pour_temp,spin_rpm,carbon_pct,silicon_pct,cooling_sec,flow_rate,mold_type,quality_score,reject
1434.1,1351,3.342,1.518,66.1,2.17,Permanent,72.24,0
1346.5,678,3.833,2.748,98.1,2.09,Sand,36.61,1
1512.8,1419,3.825,1.629,21.2,0.47,Sand,42.45,1
1389.2,1144,3.165,2.676,107.2,1.62,Sand,82.36,0
1465.9,1207,3.361,1.582,113.8,2.52,Permanent,68.44,0
1399.2,948,3.155,2.243,125.3,1.46,Die,73.31,0
1438.8,1071,2.956,1.889,80.0,2.41,Sand,71.08,0
1443.9,1360,2.967,2.507,54.3,0.87,Permanent,63.81,1
1375.1,1427,3.076,1.648,107.7,1.94,Die,45.5,1
1524.2,1037,2.936,2.401,133.9,1.69,Die,48.89,1
1487.3,1341,3.408,2.372,112.4,0.69,Die,58.17,1
1518.5,908,2.977,2.085,129.3,0.73,Sand,34.57,1
1510.0,1482,3.917,2.22,34.3,1.94,Permanent,36.59,1
1453.6,1260,3.754,1.65,130.9,0.66,Sand,72.11,0
1515.2,1425,3.84,2.778,105.3,1.8,Die,33.54,1
1356.8,1127,3.641,2.428,118.7,2.35,Sand,66.04,0
1377.2,879,3.697,1.603,70.5,1.08,Permanent,66.76,0
1348.6,1079,3.036,2.96,88.4,0.92,Sand,72.49,0
1401.8,1031,2.97,2.458,93.6,1.59,Permanent,84.05,0
1413.8,983,4.087,1.693,82.3,2.44,Sand,73.04,0
1391.6,862,3.348,1.781,31.6,0.56,Permanent,65.3,0
1497.5,1409,2.962,1.747,47.8,2.33,Sand,38.57,1
1407.8,736,3.092,1.783,36.7,0.74,Permanent,57.55,1
1393.4,1538,3.949,1.757,119.4,1.32,Permanent,55.79,1
1443.1,825,3.147,2.668,64.7,2.21,Die,73.32,0
1366.8,1630,3.46,2.405,54.6,1.64,Die,50.76,1
1492.4,1638,3.701,1.797,46.2,1.0,Permanent,45.59,1
1354.2,1048,4.059,2.984,104.3,0.67,Permanent,58.18,1
1527.5,1638,2.917,1.42,82.4,1.79,Permanent,24.31,1
1486.7,1519,3.485,2.566,91.0,2.2,Sand,51.08,1
1377.8,732,4.095,2.324,110.8,1.46,Die,47.02,1
1341.0,1597,3.046,2.303,136.4,1.92,Permanent,26.28,1
1494.9,693,3.048,2.337,108.9,1.64,Sand,52.85,1
1474.3,832,3.004,2.227,136.5,1.98,Permanent,50.54,1
1478.5,1235,3.509,3.009,103.7,2.42,Sand,63.34,1
1486.5,731,3.318,2.452,101.3,1.23,Permanent,61.23,1
1354.1,812,3.76,2.181,37.3,2.01,Die,45.71,1
1408.1,1603,3.586,2.862,31.2,2.5,Die,55.65,1
1362.0,1645,3.597,2.912,22.9,0.89,Permanent,37.63,1
1504.0,1448,3.513,2.716,103.2,2.42,Sand,45.95,1
1458.4,1165,4.09,2.375,97.9,1.32,Sand,75.87,0
1402.9,1550,3.547,1.473,95.8,0.52,Permanent,65.51,0
1352.1,762,2.987,2.947,95.0,0.88,Permanent,52.12,1
1399.1,1593,3.287,2.79,102.6,2.35,Die,55.07,1
1401.8,1002,3.837,2.987,120.3,1.62,Permanent,75.81,0
1478.6,1511,3.654,1.629,107.1,2.42,Permanent,52.02,1
1461.1,1318,3.721,3.034,91.9,1.58,Sand,70.97,0
1508.6,1610,4.006,3.042,46.2,0.41,Permanent,29.53,1
1429.7,1515,3.433,2.171,112.1,1.93,Die,63.33,1
1362.7,1538,2.923,1.526,50.0,1.39,Permanent,39.63,1
1475.5,1282,4.088,2.457,101.6,0.57,Sand,54.14,1
1484.5,1483,3.445,2.465,36.2,0.98,Permanent,52.58,1
1446.6,1407,3.017,2.302,81.2,0.73,Die,58.88,1
1486.5,812,3.558,1.958,95.9,1.39,Die,58.36,1
1433.8,1299,3.608,1.522,117.8,1.06,Permanent,74.12,0
1439.3,798,3.577,2.356,104.3,0.86,Permanent,70.68,0
1421.2,1519,4.058,1.934,116.8,1.82,Permanent,62.5,1
1344.8,716,3.284,1.569,122.6,2.48,Sand,38.35,1
1360.5,1637,2.941,1.723,125.2,2.51,Sand,25.48,1
1346.0,1051,4.004,2.744,125.7,1.22,Sand,49.49,1
1460.9,821,3.129,2.771,51.6,0.98,Sand,59.59,1
1399.7,1586,3.799,2.705,116.9,1.78,Permanent,54.25,1
1436.6,695,3.145,1.529,22.0,1.2,Permanent,52.25,1
1512.4,1120,3.895,1.588,132.3,2.17,Die,57.88,1
1387.4,1420,3.988,1.797,42.3,1.26,Permanent,66.42,0
1418.0,967,3.026,3.065,126.0,1.66,Sand,77.51,0
1483.6,1179,3.077,1.867,116.5,2.57,Die,54.22,1
1383.5,1350,4.01,2.989,66.7,0.69,Permanent,68.72,0
1354.6,1602,3.825,2.521,135.6,1.1,Permanent,29.03,1
1395.1,753,2.947,1.447,31.3,0.56,Sand,38.16,1
1370.6,807,3.119,2.229,54.9,2.51,Permanent,51.12,1
1516.6,1159,3.394,2.821,50.4,1.48,Permanent,75.69,0
1493.5,1068,3.937,1.508,21.0,1.11,Permanent,62.02,1
1460.3,1061,3.081,2.437,39.8,2.44,Sand,67.23,0
1505.6,947,3.769,1.945,115.3,1.37,Sand,63.13,1
1492.7,1211,3.0,1.74,119.8,0.41,Permanent,44.31,1
1375.4,1533,3.461,2.298,109.4,1.63,Sand,52.83,1
1509.6,811,3.775,2.753,85.7,0.6,Die,50.35,1
1442.5,865,2.978,2.724,95.9,2.57,Permanent,67.41,0
1493.4,1321,3.145,1.696,89.8,2.4,Permanent,51.21,1
1510.3,706,3.85,1.992,50.3,2.05,Permanent,44.07,1
1400.4,1324,3.096,1.992,66.2,1.8,Die,72.22,0
1360.9,964,3.701,2.802,118.2,0.5,Sand,55.62,1
1383.3,1008,3.671,2.244,31.3,0.9,Permanent,73.11,0
1421.2,1056,3.524,2.038,24.6,1.33,Permanent,73.95,0
1495.4,1000,3.142,2.769,102.6,2.11,Permanent,65.61,0
1503.5,1491,3.4,2.915,120.6,0.71,Die,41.31,1
1341.3,1596,3.646,1.95,94.1,2.06,Permanent,47.75,1
1437.0,1198,3.958,3.075,111.5,1.72,Permanent,77.69,0
1419.3,1232,3.857,2.311,137.3,1.48,Sand,74.12,0
1382.2,720,3.629,1.505,95.7,2.43,Permanent,51.33,1
1362.8,1363,3.174,2.022,73.3,1.86,Sand,57.17,1
1404.1,1234,3.16,2.325,139.2,1.0,Die,65.24,0
1519.2,700,3.877,2.805,95.4,1.43,Sand,38.65,1
1401.4,848,3.697,2.606,41.3,1.85,Sand,56.58,1
1438.6,852,3.33,1.739,102.2,0.6,Die,58.73,1
1473.6,821,4.066,2.12,109.2,0.72,Permanent,55.94,1
1409.1,1309,3.968,1.567,21.4,2.44,Permanent,59.84,1
1524.6,1578,3.706,2.891,72.0,0.99,Sand,30.15,1
1522.9,1413,3.343,1.406,133.6,1.19,Permanent,43.97,1
1387.8,1127,3.271,1.843,117.9,0.66,Die,65.34,0
1434.5,1054,4.027,2.696,44.6,0.82,Permanent,77.93,0
1397.2,1036,3.432,1.437,56.6,0.63,Permanent,73.65,0
1394.1,1251,3.86,2.626,99.2,2.07,Die,60.68,1
1347.0,1009,4.028,2.512,129.5,1.61,Sand,52.87,1
1455.8,876,3.49,2.157,125.4,1.06,Permanent,63.23,1
1435.5,1253,3.684,1.64,49.1,0.98,Sand,76.12,0
1349.8,1041,3.004,1.926,101.8,0.48,Permanent,57.2,1
1392.9,664,3.683,1.738,87.7,1.64,Die,62.41,1
1512.6,672,3.158,1.41,65.1,0.86,Permanent,44.81,1
1385.5,924,3.705,2.025,56.1,0.84,Permanent,74.98,0
1367.5,1162,3.021,2.934,79.8,2.21,Sand,70.99,0
1433.0,1004,3.494,2.215,88.2,0.61,Die,79.54,0
1527.3,674,3.525,2.421,127.9,1.94,Permanent,39.23,1
1386.0,873,3.48,3.0,109.9,0.95,Permanent,68.0,0
1467.7,746,3.808,2.167,27.2,1.91,Permanent,63.41,1
1484.7,1599,3.805,2.392,41.2,0.62,Permanent,47.16,1
1385.2,963,3.748,1.557,48.5,1.57,Sand,67.78,0
1478.4,665,3.658,1.627,44.7,1.4,Sand,44.03,1
1409.9,1311,3.985,2.393,55.5,1.41,Sand,61.78,1
1460.1,882,3.591,1.481,68.8,0.88,Permanent,75.66,0
1460.4,1217,3.318,1.461,22.0,0.7,Permanent,66.31,0
1441.8,801,2.971,1.578,28.2,2.18,Die,55.09,1
1357.2,1634,3.543,1.796,99.5,0.77,Die,34.58,1
1498.7,1620,3.173,1.566,92.1,1.36,Permanent,40.08,1
1400.9,1306,3.364,1.836,125.2,0.47,Permanent,60.53,1
1375.4,1357,2.96,2.656,134.6,0.79,Permanent,48.47,1
1347.7,1076,3.669,2.107,107.8,0.7,Sand,63.12,1
1452.3,1612,3.964,2.529,67.4,1.92,Permanent,57.29,1
1468.7,1074,3.29,2.7,109.3,2.09,Permanent,81.81,0
1343.2,889,3.866,1.958,89.4,2.3,Sand,57.42,1
1437.3,765,3.052,2.92,133.2,0.49,Die,52.64,1
1383.0,858,3.768,2.865,128.5,2.34,Permanent,50.38,1
1462.6,1222,2.996,2.102,120.8,1.13,Sand,67.56,0
1373.1,895,3.21,2.803,98.0,2.39,Permanent,65.81,0
1471.3,1304,3.332,1.973,40.5,1.31,Permanent,69.71,0
1413.5,1032,3.088,2.63,112.4,0.43,Sand,74.71,0
1518.0,1537,3.121,3.051,125.5,1.51,Permanent,45.79,1
1366.1,1208,3.739,1.93,110.1,1.71,Permanent,76.28,0
1404.8,1273,3.015,2.373,90.3,1.72,Permanent,78.42,0
1361.6,1207,4.021,2.013,109.3,2.46,Permanent,53.61,1
1515.7,1536,3.822,2.246,63.9,1.34,Permanent,52.58,1
1506.7,713,3.328,1.77,36.8,1.46,Die,47.74,1
1389.0,717,3.655,2.128,60.6,2.59,Die,56.4,1
1465.4,1352,3.763,2.496,123.2,0.45,Die,57.58,1
1495.3,1418,3.613,1.986,127.5,1.78,Permanent,49.75,1
1445.5,1084,3.642,1.891,44.1,1.93,Die,87.82,0
1440.6,1002,3.999,1.963,30.5,1.7,Sand,69.15,0
1386.0,928,3.957,1.931,31.8,1.53,Permanent,66.28,0
1357.7,884,3.997,1.673,85.5,1.19,Sand,54.69,1
1510.5,1562,3.962,2.941,52.0,1.84,Die,46.49,1
1511.1,945,3.722,3.025,71.3,0.89,Die,62.03,1
1460.3,1298,3.49,1.85,85.5,2.46,Die,69.11,0
1404.4,1437,3.485,2.448,26.9,2.45,Die,65.2,0
1406.3,672,3.826,1.936,114.7,1.49,Sand,60.98,1
1477.9,684,4.009,2.386,41.5,1.69,Die,56.29,1
1510.5,983,3.006,1.899,74.2,2.6,Permanent,61.16,1
1508.5,1346,3.952,1.503,124.6,1.67,Sand,49.52,1
1488.2,911,3.92,1.655,118.7,2.34,Sand,55.74,1
1462.0,651,3.005,2.289,126.6,0.75,Die,38.2,1
1356.0,938,3.688,1.824,105.4,1.26,Permanent,72.43,0
1370.7,740,4.066,2.222,48.2,1.7,Permanent,57.24,1
1510.7,869,3.922,2.947,67.6,2.44,Sand,39.58,1
1455.2,983,2.975,1.47,32.1,0.49,Permanent,55.54,1
1341.7,778,4.01,2.786,64.7,2.11,Sand,44.29,1
1359.3,1356,3.108,2.228,20.6,1.85,Sand,41.92,1
1466.1,906,2.987,1.662,85.1,1.26,Die,67.64,0
1341.0,1311,3.173,1.795,26.2,2.04,Permanent,44.14,1
1370.6,1249,3.48,3.085,33.2,1.64,Sand,55.58,1
1444.3,1548,3.878,1.991,89.9,1.37,Permanent,65.34,0
1471.5,738,3.221,1.51,27.9,0.56,Permanent,45.69,1
1463.9,865,3.368,2.396,102.9,1.24,Permanent,71.75,0
1382.6,1515,3.069,1.727,100.9,1.1,Die,45.87,1
1475.3,1472,3.25,2.927,129.8,1.99,Permanent,52.42,1
1385.1,842,3.982,2.003,76.2,2.5,Die,59.93,1
1401.8,758,3.717,2.451,139.2,2.05,Permanent,61.62,1
1481.8,1506,3.709,2.848,130.6,1.36,Permanent,50.07,1
1463.4,828,3.2,3.073,71.8,1.76,Sand,64.16,1
1501.4,1521,3.075,3.029,57.9,0.64,Permanent,57.68,1
1464.9,1611,3.965,1.591,78.6,1.39,Sand,48.88,1
1448.0,871,4.032,1.974,76.6,1.34,Sand,73.91,0
1357.8,1490,2.964,2.493,39.3,1.92,Permanent,44.34,1
1409.9,1074,3.536,1.611,116.2,2.55,Sand,79.78,0
1390.4,1439,3.428,2.051,31.6,1.55,Sand,59.95,1
1386.4,1057,3.786,3.016,33.9,1.77,Die,71.83,0
1524.9,720,3.262,1.724,89.4,1.02,Sand,40.9,1
1414.7,1363,3.645,2.245,47.6,1.19,Permanent,82.19,0
1509.5,801,2.999,1.484,126.2,2.12,Sand,36.36,1
1459.9,1577,3.888,2.488,139.8,0.74,Permanent,38.04,1
1491.0,1068,3.186,2.408,38.6,1.15,Permanent,64.85,1
1435.5,732,3.277,2.82,132.7,2.21,Permanent,63.23,1
1449.6,878,3.354,2.882,114.6,1.7,Permanent,71.28,0
1433.6,1513,3.148,1.761,65.4,2.46,Permanent,62.32,1
1377.1,971,3.871,2.861,84.0,1.78,Permanent,77.48,0
1477.3,1506,2.982,3.066,67.0,1.1,Die,61.45,1
1393.3,822,4.02,2.904,81.7,0.58,Permanent,69.8,0
1344.6,1118,4.017,2.868,81.8,2.47,Permanent,60.98,1
1462.6,1528,3.893,2.372,111.1,1.58,Permanent,53.24,1
1373.7,698,4.043,2.514,99.6,1.51,Permanent,55.72,1
1518.7,954,3.813,2.74,29.3,0.87,Sand,39.92,1
1521.2,1560,3.575,1.703,55.8,1.53,Permanent,40.13,1
1513.8,1247,3.766,3.062,30.1,0.63,Die,45.51,1
1410.3,1366,2.905,1.907,71.3,2.0,Die,67.47,0
1342.9,1492,3.723,2.275,78.0,2.33,Permanent,52.34,1
1516.4,1174,2.95,2.332,62.7,2.54,Die,59.5,1
1421.4,1495,3.965,2.822,41.5,1.07,Permanent,60.89,1
1523.7,1289,3.976,2.192,64.2,0.86,Die,54.4,1
1523.1,1336,3.037,2.105,102.8,0.74,Permanent,45.21,1
1502.1,803,3.716,2.001,34.7,0.61,Permanent,48.64,1
1395.9,1589,3.702,2.904,83.0,2.18,Die,50.1,1
1413.2,1446,3.498,2.848,103.8,1.31,Permanent,70.67,0
1501.7,904,2.93,2.129,44.7,0.81,Die,52.95,1
1400.2,1230,3.037,2.107,130.6,1.51,Sand,70.49,0
1372.2,1026,3.691,1.722,36.3,0.74,Die,71.73,0
1445.8,1310,3.536,2.255,39.0,2.25,Sand,67.99,0
1517.9,1644,2.956,1.977,35.0,0.59,Permanent,14.74,1
1472.2,696,3.521,2.09,115.9,0.51,Die,44.32,1
1448.3,1603,3.919,1.733,31.5,2.25,Permanent,53.19,1
1358.5,722,3.969,2.446,80.7,2.07,Die,52.29,1
1456.9,1111,3.736,2.141,126.5,1.44,Die,78.43,0
1528.1,1132,3.695,2.941,88.3,1.96,Permanent,68.16,0
1366.6,919,3.823,2.125,63.5,0.56,Permanent,69.49,0
1438.5,1217,3.06,2.74,74.4,1.96,Permanent,80.86,0
1506.7,1484,3.128,2.411,23.1,0.87,Permanent,41.55,1
1480.7,944,3.483,2.928,80.1,2.36,Permanent,67.37,0
1472.4,720,3.441,2.862,128.1,0.8,Die,44.28,1
1473.5,1282,3.121,2.869,124.9,2.29,Die,51.95,1
1408.3,1402,3.714,3.063,28.4,2.14,Permanent,61.71,1
1395.8,1605,3.789,1.584,78.9,0.51,Permanent,59.47,1
1493.8,810,3.225,1.872,31.9,0.67,Die,45.01,1
1493.9,1551,3.276,1.4,90.5,0.91,Permanent,45.5,1
1504.7,1132,3.209,2.771,74.7,1.73,Permanent,77.11,0
1513.5,886,3.234,2.584,101.0,1.17,Permanent,55.54,1
1437.2,1613,3.338,2.982,80.7,2.06,Sand,60.28,1
1435.3,888,3.429,2.604,72.7,2.47,Sand,73.37,0
1491.7,1383,3.481,1.5,62.6,2.35,Permanent,53.88,1
1463.5,1435,3.482,1.769,27.9,1.3,Sand,53.98,1
1473.4,1081,3.641,1.558,102.7,0.5,Permanent,75.74,0
1491.2,1340,3.313,1.428,41.0,0.96,Permanent,53.96,1
1509.1,1222,3.504,1.863,118.1,1.38,Permanent,63.01,1
1404.2,842,3.507,2.385,58.8,1.22,Permanent,77.46,0
1411.4,1410,3.016,2.881,102.0,1.22,Permanent,70.27,0
1357.9,1578,3.655,2.528,137.7,1.01,Permanent,42.62,1
1449.9,1139,3.234,1.714,74.1,1.42,Sand,71.36,0
1346.8,1644,2.956,2.218,112.6,2.17,Permanent,25.58,1
1428.5,1078,3.677,1.79,115.0,0.43,Permanent,88.74,0
1443.1,1130,2.958,2.414,24.0,1.37,Sand,69.94,0
1394.4,1324,3.43,2.42,84.6,2.49,Die,65.09,0
1452.3,836,3.645,2.004,58.9,1.8,Die,80.41,0
1345.8,1552,4.098,1.683,73.6,2.58,Die,43.8,1
1347.1,1451,3.518,2.62,56.0,1.28,Permanent,56.32,1
1496.3,1522,3.282,1.909,85.0,0.99,Sand,41.57,1
1408.4,1260,3.49,2.979,128.3,2.42,Permanent,72.57,0
1364.1,1534,3.135,2.069,26.1,0.88,Die,41.03,1
1439.2,1330,3.426,1.413,45.8,2.28,Die,71.46,0
1486.3,1162,3.948,2.318,127.2,0.94,Permanent,58.41,1
1381.0,1582,3.063,2.268,28.7,2.04,Permanent,42.01,1
1458.3,1090,3.536,2.0,64.2,2.25,Permanent,78.75,0
1356.2,1151,3.645,1.62,50.2,2.32,Die,68.5,0
1349.8,820,3.276,2.553,41.0,2.46,Die,53.29,1
1441.0,1598,3.783,1.908,52.7,1.94,Sand,48.07,1
1442.7,871,3.696,1.477,89.8,1.36,Permanent,75.91,0
1461.1,851,3.457,2.955,136.2,0.92,Permanent,57.24,1
1478.0,751,3.668,1.674,69.7,0.63,Sand,55.11,1
1525.4,1103,3.908,1.654,73.6,2.38,Sand,56.82,1
1438.1,924,3.62,1.648,67.9,0.86,Permanent,85.15,0
1401.4,1391,3.583,1.811,134.6,2.03,Permanent,61.6,1
1491.1,958,3.646,1.795,35.7,2.08,Permanent,67.43,0
1391.5,1371,3.711,1.636,56.6,1.24,Permanent,73.01,0
1423.4,846,3.384,2.698,23.6,1.83,Sand,62.23,1
1354.9,880,3.904,2.629,61.3,0.67,Sand,41.41,1
1344.8,1456,4.009,1.468,53.3,1.25,Permanent,51.09,1
1522.9,1021,3.646,1.611,49.2,1.2,Die,73.34,0
1498.8,762,3.964,2.75,46.7,1.62,Permanent,50.16,1
1472.2,1611,3.794,2.304,60.0,1.46,Die,53.47,1
1417.7,827,3.408,1.757,50.3,0.68,Permanent,71.51,0
1372.9,800,3.495,2.743,27.5,1.5,Permanent,57.81,1
1369.7,1008,3.584,2.662,51.6,0.43,Sand,67.54,0
1387.5,746,4.027,2.635,137.3,1.36,Sand,47.26,1
1444.4,806,3.678,1.544,133.4,0.76,Die,58.41,1
1475.8,1496,3.51,2.681,105.7,0.71,Permanent,50.65,1
1465.4,822,3.048,2.081,43.0,0.4,Permanent,51.06,1
1393.2,761,3.7,1.768,89.0,2.6,Permanent,65.26,0
1521.4,1530,3.566,2.185,120.8,1.57,Die,44.46,1
1480.2,1094,4.028,1.907,33.3,1.48,Die,69.49,0
1445.3,807,3.31,2.882,83.7,0.96,Permanent,78.48,0
1456.2,1232,3.855,2.278,56.8,2.02,Die,83.18,0
1419.7,692,3.239,2.586,68.1,1.71,Sand,63.42,1
1387.1,1077,3.106,1.546,85.1,2.16,Permanent,84.3,0
1407.6,1240,2.915,1.937,77.5,2.42,Die,69.52,0
1484.0,1607,3.975,2.564,130.3,1.57,Permanent,37.65,1
1342.7,976,3.434,1.877,84.0,0.71,Sand,58.78,1
1362.1,1415,3.237,2.377,101.7,1.91,Permanent,58.29,1
1348.7,783,3.384,1.873,86.8,2.57,Permanent,58.45,1
1347.7,1084,3.754,1.832,68.5,0.98,Sand,74.85,0
1502.5,873,3.372,1.773,44.7,2.38,Sand,42.67,1
1473.7,1142,3.171,1.789,29.7,1.8,Sand,54.85,1
1430.1,1067,3.005,2.67,101.3,1.63,Permanent,86.53,0
1358.6,1630,3.646,1.46,32.2,0.54,Permanent,34.58,1
1433.4,1567,4.067,1.822,30.0,1.38,Permanent,55.78,1
1430.0,1232,3.662,2.946,129.9,1.36,Permanent,73.66,0
1372.9,827,4.036,1.948,136.4,2.33,Sand,46.69,1
1422.4,1207,3.954,2.045,92.2,1.77,Permanent,87.97,0
1415.7,1442,3.087,2.741,23.8,2.25,Permanent,59.41,1
1457.0,688,3.955,2.598,111.5,1.28,Permanent,54.37,1
1460.7,1084,2.901,1.444,81.7,2.15,Sand,68.41,0
1348.6,693,3.512,1.581,113.0,0.49,Sand,37.43,1
1411.2,894,3.527,2.13,69.6,1.48,Die,85.67,0
1458.9,742,3.772,2.25,109.4,1.7,Permanent,62.17,1
1435.6,1611,3.807,1.682,115.4,0.43,Permanent,57.8,1
1502.7,819,3.178,1.825,85.6,0.43,Permanent,46.14,1
1465.2,800,3.958,2.73,136.3,2.43,Permanent,49.11,1
1371.0,1622,3.115,2.061,56.9,2.44,Die,41.36,1
1353.4,1166,4.054,2.745,133.5,2.47,Sand,49.31,1
1462.1,1408,4.082,2.669,25.3,0.82,Sand,39.16,1
1345.0,977,3.736,2.034,116.6,2.51,Sand,61.93,1
1451.3,1183,3.678,2.828,87.2,2.06,Permanent,79.17,0
1518.6,657,4.075,2.448,61.2,1.39,Die,44.49,1
1449.3,1059,3.19,1.449,29.1,1.48,Sand,67.14,0
1413.8,1205,3.671,1.733,102.8,1.1,Permanent,91.59,0
1462.2,1164,3.387,1.751,101.1,2.36,Sand,74.22,0
1427.1,1056,3.101,1.416,107.1,1.83,Permanent,84.07,0
1443.7,1438,3.053,2.587,109.1,2.15,Permanent,61.35,1
1518.9,1152,3.74,2.622,34.3,0.51,Permanent,56.26,1
1413.4,1286,3.175,2.788,123.1,0.66,Die,74.06,0
1522.6,835,3.619,2.224,37.6,1.78,Permanent,51.58,1
1512.0,1512,3.185,1.966,87.9,0.45,Sand,32.34,1
1377.2,1013,3.445,2.536,115.6,2.33,Die,63.8,1
1353.2,1132,3.791,2.68,140.0,1.79,Permanent,56.93,1
1359.1,1002,3.534,2.721,43.2,0.47,Permanent,63.98,1
1343.5,1542,3.946,2.284,54.8,2.09,Sand,30.5,1
1357.9,1551,3.532,1.844,55.5,1.76,Permanent,54.97,1
1469.8,874,3.133,1.556,105.3,2.5,Permanent,47.37,1
1353.5,1403,3.977,2.248,81.2,0.98,Permanent,61.04,1
1400.6,753,3.401,1.956,67.5,0.76,Permanent,66.89,0
1500.5,680,3.941,2.981,133.6,1.43,Sand,31.7,1
1344.4,1487,3.179,3.069,89.0,1.48,Permanent,50.94,1
1494.7,781,3.663,1.433,120.3,0.5,Die,41.08,1
1393.6,805,3.098,2.967,135.8,1.1,Permanent,57.58,1
1362.5,1257,2.996,2.248,80.5,1.0,Permanent,64.77,1
1472.4,1467,4.099,2.604,128.3,1.74,Sand,45.93,1
1459.5,840,2.913,1.707,115.9,2.08,Die,52.93,1
1506.7,764,3.609,2.883,139.7,0.96,Sand,37.92,1
1479.7,727,2.916,1.653,74.0,2.01,Sand,42.82,1
1492.7,675,3.562,2.66,22.6,1.25,Sand,36.52,1
1393.6,766,3.02,2.679,33.1,1.86,Die,54.59,1
1373.7,1593,3.845,1.456,110.1,1.72,Die,53.34,1
1482.6,745,3.251,2.399,117.6,2.16,Die,47.51,1
1493.3,1248,3.313,2.494,63.2,1.81,Sand,64.2,1
1528.2,1571,3.203,2.705,33.8,0.81,Permanent,31.58,1
1418.4,1278,3.037,2.525,105.1,2.14,Sand,76.74,0
1410.7,683,3.5,1.49,96.2,1.92,Permanent,62.95,1
1487.5,1246,3.437,2.216,26.6,1.28,Permanent,66.73,0
1404.8,1553,3.547,2.799,85.7,0.42,Permanent,62.84,1
1516.8,973,3.651,2.42,49.7,1.68,Sand,49.62,1
1503.1,964,3.006,1.659,33.9,1.62,Die,58.77,1
1421.5,899,3.396,1.689,41.8,2.01,Die,75.18,0
1482.7,1156,3.611,1.932,45.2,0.57,Permanent,76.62,0
1483.4,888,3.288,2.269,39.2,1.34,Die,60.68,1
1359.6,1374,3.13,1.96,41.8,1.65,Permanent,52.87,1
1511.5,1295,3.628,1.726,84.6,2.48,Die,58.2,1
1436.0,1051,3.762,2.438,25.4,1.89,Sand,70.18,0
1497.0,1373,3.801,2.795,55.8,1.32,Die,54.02,1
1400.8,748,3.291,2.443,33.1,2.22,Permanent,61.84,1
1510.1,1400,3.019,1.653,94.6,1.35,Sand,53.75,1
1413.9,1253,3.999,1.471,133.8,2.01,Sand,72.44,0
1342.1,1280,3.725,2.405,25.3,1.57,Sand,49.16,1
1512.0,715,4.038,3.064,127.5,0.74,Sand,27.32,1
