carbon_pct,silicon_pct,manganese_pct,phosphorus_pct,magnesium_added_pct,treatment_time_min,rpm,mold_diameter_m,pour_temp_c,mold_preheat_c,wall_thickness_mm,mold_type,mold_enc,carbon_equivalent,liquidus_temp_c,superheat_c,G_factor,Mg_effective_pct,nodularity_index,solidification_time_s,cooling_rate_cs,quality_score,reject
3.355,2.424,0.454,0.0476,0.0741,3.6,639,0.101,1512.1,152.4,45.2,Permanent,0,4.1792,1436.7,75.4,45.94,0.06889,0.786,204.37,6.65,100.0,0
3.53,2.054,0.326,0.047,0.0517,5.0,680,0.087,1506.6,210.3,50.8,Permanent,0,4.2301,1434.7,71.8,44.98,0.04684,0.621,258.07,5.02,100.0,0
3.582,2.377,0.427,0.0272,0.0501,7.7,833,0.106,1516.2,228.2,41.1,Sand,1,4.3834,1430.7,85.5,81.82,0.04299,0.543,253.87,5.07,100.0,0
3.504,2.3,0.53,0.0294,0.0553,3.3,885,0.127,1513.1,175.4,14.4,Permanent,0,4.2809,1433.5,79.6,110.73,0.05182,0.659,20.69,40.0,100.0,0
3.589,2.25,0.413,0.0175,0.0488,3.6,516,0.148,1520.9,289.9,25.3,Sand,1,4.3451,1431.5,89.4,43.93,0.04539,0.655,95.91,12.84,100.0,0
3.322,2.168,0.366,0.0423,0.0388,4.5,763,0.105,1508.8,261.8,20.1,Sand,1,4.0583,1439.7,69.2,68.16,0.03552,0.562,60.84,20.5,98.57,0
3.347,1.67,0.312,0.0312,0.0289,17.8,1595,0.118,1608.3,122.7,47.7,Permanent,0,3.9141,1442.9,165.3,336.7,0.02024,0.175,227.24,6.54,17.77,1
3.609,2.229,0.3,0.0247,0.0534,7.1,864,0.087,1503.8,284.4,30.6,Die,2,4.3603,1431.1,72.7,72.77,0.04637,0.528,74.92,16.28,98.41,0
3.363,2.568,0.302,0.0403,0.0745,2.7,859,0.145,1551.0,198.6,27.5,Permanent,0,4.2324,1435.3,115.7,119.26,0.07056,0.856,75.36,17.95,93.75,0
3.597,2.229,0.361,0.0381,0.0671,4.9,513,0.088,1540.2,166.4,30.4,Permanent,0,4.3528,1431.4,108.7,25.73,0.06086,0.726,92.22,14.9,100.0,0
3.038,3.092,0.597,0.028,0.0341,9.5,1258,0.157,1577.9,116.6,80.4,Sand,1,4.0774,1440.2,137.7,277.42,0.02815,0.415,969.13,1.51,48.08,1
3.548,2.494,0.485,0.0261,0.0548,4.8,868,0.173,1548.9,265.6,34.3,Die,2,4.3877,1430.7,118.2,146.19,0.04977,0.64,93.85,13.67,97.18,0
3.492,2.154,0.253,0.0411,0.0478,5.7,815,0.115,1534.0,212.7,41.5,Sand,1,4.2235,1435.0,99.0,85.35,0.04269,0.551,257.75,5.13,99.92,0
3.553,2.632,0.422,0.0416,0.0403,7.4,538,0.088,1517.7,235.5,16.8,Sand,1,4.4438,1429.5,88.2,28.5,0.03477,0.474,42.55,30.13,98.24,0
3.612,2.362,0.319,0.0322,0.0392,6.8,793,0.165,1535.1,260.8,13.9,Sand,1,4.4098,1430.0,105.1,115.76,0.03426,0.541,29.11,40.0,98.42,0
3.671,2.043,0.54,0.0493,0.0646,5.9,604,0.131,1507.6,284.2,16.1,Permanent,0,4.3689,1430.9,76.8,53.66,0.05746,0.659,25.93,40.0,100.0,0
3.591,1.97,0.466,0.0453,0.0547,5.5,654,0.109,1515.8,268.5,18.2,Die,2,4.2628,1433.7,82.1,52.29,0.04899,0.615,26.36,40.0,98.66,0
3.509,1.944,0.387,0.0326,0.0541,7.8,890,0.125,1502.7,293.7,26.5,Sand,1,4.1682,1436.2,66.5,110.36,0.04631,0.515,105.69,11.44,98.18,0
3.688,1.684,0.55,0.0758,0.0215,17.4,493,0.07,1541.2,79.5,22.8,Permanent,0,4.2743,1433.3,107.9,19.03,0.01517,0.114,52.2,28.0,72.81,0
3.423,2.697,0.289,0.0351,0.0705,5.7,596,0.122,1542.0,165.8,17.6,Permanent,0,4.3334,1432.6,109.4,48.46,0.06287,0.683,31.12,40.0,97.4,0
3.378,2.526,0.702,0.0281,0.0201,6.9,525,0.088,1609.8,79.6,67.7,Die,2,4.2294,1435.2,174.6,26.98,0.01752,0.279,367.2,4.17,61.75,1
3.588,2.093,0.393,0.0414,0.0662,6.7,839,0.14,1509.7,184.1,22.2,Sand,1,4.2996,1432.8,76.9,110.09,0.05789,0.63,74.26,17.85,98.18,0
3.39,2.317,0.392,0.025,0.0569,6.3,819,0.176,1534.7,247.7,58.2,Permanent,0,4.171,1436.5,98.1,131.79,0.05018,0.64,339.3,3.79,94.75,0
3.378,2.287,0.413,0.028,0.0605,7.9,533,0.179,1536.0,192.9,33.4,Sand,1,4.1496,1437.1,98.9,56.62,0.05159,0.636,167.56,8.02,100.0,0
4.166,2.288,0.514,0.0912,0.0434,11.7,255,0.099,1511.0,107.4,67.0,Permanent,0,4.9587,1415.1,95.9,7.2,0.0344,0.366,448.77,3.13,78.33,0
3.393,2.549,0.476,0.0432,0.0623,4.0,792,0.177,1513.4,248.8,24.4,Permanent,0,4.2572,1434.6,78.8,124.16,0.05749,0.665,59.61,21.21,99.8,0
3.794,2.782,0.411,0.0438,0.0588,9.3,1593,0.163,1530.9,103.2,17.5,Permanent,0,4.7362,1421.5,109.4,462.65,0.04885,0.562,30.74,40.0,22.02,1
3.336,2.694,0.254,0.0354,0.049,6.7,720,0.114,1501.8,172.8,20.6,Permanent,0,4.2459,1435.0,66.7,66.01,0.04285,0.649,42.3,31.42,100.0,0
3.306,2.362,0.388,0.0292,0.0403,6.2,620,0.146,1543.5,165.2,10.7,Die,2,4.103,1438.5,105.0,62.92,0.03561,0.479,9.17,40.0,96.46,0
4.045,1.742,0.541,0.0674,0.0493,14.9,496,0.1,1554.1,79.1,49.3,Permanent,0,4.648,1422.8,131.2,27.58,0.03659,0.372,242.73,6.08,90.33,0
3.585,1.8,0.769,0.0898,0.037,17.2,1500,0.226,1536.2,57.5,15.4,Sand,1,4.2147,1435.2,100.9,568.87,0.02626,0.318,35.72,40.0,0.0,1
4.096,2.204,0.236,0.04,0.0313,10.0,416,0.188,1536.0,85.8,27.2,Sand,1,4.8437,1417.7,118.3,36.35,0.02558,0.415,111.16,13.05,81.91,0
4.097,1.913,0.795,0.022,0.0204,13.6,452,0.128,1524.2,136.2,22.0,Permanent,0,4.7423,1420.0,104.2,29.21,0.0155,0.264,48.32,28.73,74.4,0
3.796,1.942,0.253,0.0198,0.0606,6.8,898,0.158,1549.1,170.7,25.4,Permanent,0,4.4496,1428.2,120.9,142.57,0.05288,0.676,64.67,21.31,98.02,0
3.394,1.914,0.394,0.0265,0.073,4.4,658,0.116,1555.4,158.5,37.7,Permanent,0,4.0405,1439.7,115.8,56.11,0.06676,0.832,142.47,9.81,95.24,0
3.658,2.352,0.417,0.0403,0.0717,7.6,876,0.133,1518.3,253.5,13.1,Permanent,0,4.4553,1428.8,89.5,113.96,0.06165,0.674,17.09,40.0,99.7,0
3.292,1.774,0.264,0.0832,0.0247,8.8,328,0.133,1557.8,130.6,68.8,Permanent,0,3.9114,1443.6,114.2,15.94,0.0207,0.368,473.66,3.01,75.57,0
3.754,2.376,0.397,0.018,0.0667,5.3,723,0.102,1513.4,187.9,13.5,Permanent,0,4.5523,1425.9,87.6,59.39,0.05995,0.699,18.16,40.0,100.0,0
3.369,2.214,0.4,0.0214,0.0475,3.7,623,0.154,1500.7,252.0,53.2,Permanent,0,4.1138,1438.0,62.7,66.7,0.04416,0.58,282.89,4.41,97.52,0
3.34,2.035,0.393,0.0486,0.0748,5.7,673,0.149,1530.5,159.7,42.5,Die,2,4.0346,1440.2,90.3,75.3,0.06667,0.784,144.35,9.5,94.92,0
3.558,2.155,0.349,0.0288,0.0526,3.1,517,0.163,1522.1,234.5,57.2,Sand,1,4.2859,1433.1,89.0,48.58,0.04945,0.655,490.39,2.63,100.0,0
3.657,2.034,0.312,0.0255,0.0574,7.8,374,0.177,1565.9,142.0,33.1,Permanent,0,4.3432,1431.3,134.6,27.72,0.04913,0.586,109.88,12.96,95.47,0
4.102,1.749,0.695,0.0961,0.0402,17.5,1268,0.203,1506.6,67.0,56.1,Sand,1,4.717,1421.2,85.5,364.98,0.02834,0.326,472.81,3.04,34.99,1
3.531,2.441,0.431,0.0192,0.071,5.6,511,0.151,1522.1,249.0,37.4,Permanent,0,4.3513,1431.6,90.5,43.97,0.06351,0.754,139.74,9.11,97.13,0
3.453,2.432,0.303,0.0346,0.0661,4.2,687,0.162,1559.7,163.6,59.6,Permanent,0,4.2753,1433.9,125.8,85.34,0.0608,0.733,355.48,3.93,100.0,0
3.537,1.926,0.369,0.0289,0.0448,2.1,753,0.104,1536.6,250.2,59.7,Permanent,0,4.1884,1435.6,101.0,66.06,0.04296,0.624,356.09,3.61,100.0,0
3.448,2.3,0.381,0.021,0.0725,2.9,622,0.14,1545.6,159.0,37.8,Sand,1,4.2219,1435.1,110.6,60.62,0.06844,0.764,214.29,6.47,97.4,0
3.578,2.406,0.48,0.0496,0.0442,2.7,637,0.133,1509.3,208.7,27.7,Permanent,0,4.3969,1430.6,78.7,60.12,0.04191,0.638,76.85,16.92,98.93,0
3.511,2.314,0.499,0.0484,0.0476,7.6,506,0.139,1510.7,235.9,26.5,Permanent,0,4.2986,1433.2,77.6,39.87,0.04092,0.523,70.14,18.18,100.0,0
3.632,2.417,0.494,0.0271,0.0619,4.3,683,0.16,1536.9,258.2,42.4,Sand,1,4.4471,1429.0,108.0,83.67,0.05681,0.696,270.02,4.74,98.97,0
3.209,2.025,0.43,0.0672,0.0591,17.6,1107,0.219,1599.8,114.3,28.6,Sand,1,3.9064,1443.9,155.8,300.13,0.04154,0.448,122.58,12.12,44.13,1
3.324,2.183,0.287,0.0231,0.0394,4.8,575,0.127,1532.4,161.5,35.4,Permanent,0,4.0595,1439.5,92.9,46.73,0.0358,0.561,125.57,10.92,100.0,0
3.403,2.333,0.399,0.042,0.0553,2.4,797,0.134,1517.5,164.8,57.3,Sand,1,4.1942,1436.1,81.4,95.41,0.05276,0.71,492.33,2.75,100.0,0
3.799,2.463,0.352,0.022,0.0436,5.4,618,0.153,1544.1,175.4,14.4,Sand,1,4.6276,1423.9,120.2,65.22,0.03914,0.563,31.22,40.0,100.0,0
3.753,2.728,0.591,0.0582,0.0233,7.4,436,0.193,1472.8,79.6,6.9,Die,2,4.6813,1423.1,49.7,41.14,0.02006,0.409,3.79,40.0,76.39,0
3.479,2.341,0.265,0.0436,0.0398,6.7,757,0.124,1548.9,224.5,25.7,Permanent,0,4.2739,1433.9,115.0,79.31,0.03478,0.484,66.26,19.99,100.0,0
3.481,2.489,0.509,0.0454,0.0386,2.4,593,0.171,1531.3,166.0,58.8,Sand,1,4.3257,1432.6,98.7,67.1,0.03677,0.602,518.94,2.63,100.0,0
4.135,2.393,0.586,0.0384,0.0443,10.5,254,0.215,1522.8,153.8,89.5,Permanent,0,4.9455,1415.1,107.7,15.55,0.03588,0.402,800.85,1.71,90.24,0
3.637,1.8,0.715,0.0909,0.0236,17.0,1474,0.074,1573.9,156.5,32.1,Permanent,0,4.2677,1433.8,140.1,178.51,0.01679,0.205,103.22,13.73,69.7,0
