temperature,rpm,carbon_pct,silicon_pct,cooling_time,mold_type,metal_flow_rate,quality_score,reject
1487.4,1436,3.51,2.434,45.5,Sand,1.23,58.09,1
1457.7,1107,3.627,2.985,42.5,Permanent,0.63,71.23,0
1498.1,1279,3.926,1.968,121.2,Sand,2.48,58.73,1
1486.6,1174,3.019,2.01,59.4,Sand,0.58,72.05,0
1381.7,1358,3.477,1.618,64.1,Die,1.81,64.11,1
1501.7,773,3.688,2.164,104.8,Permanent,1.39,59.03,1
1441.7,754,3.723,1.892,60.6,Sand,2.4,62.48,1
1487.3,922,3.693,2.015,125.0,Permanent,0.99,64.82,1
1502.3,844,3.134,2.752,102.5,Permanent,1.56,58.21,1
1404.1,1485,3.299,2.903,87.7,Permanent,1.46,70.37,0
1368.7,897,3.359,1.779,117.5,Die,1.91,62.53,1
1388.7,1578,3.804,2.059,30.2,Die,0.64,62.32,1
1422.6,1003,3.279,2.893,52.0,Sand,0.89,74.16,0
1489.1,864,3.211,1.593,73.8,Sand,0.93,52.23,1
1496.3,1411,3.957,1.639,48.8,Permanent,1.98,49.36,1
1351.2,1293,3.009,1.744,103.1,Permanent,0.88,49.51,1
1436.8,1148,3.998,2.393,121.5,Permanent,1.65,75.14,0
1421.0,1200,3.677,1.726,69.5,Permanent,0.93,81.79,0
1387.8,1347,3.828,2.952,60.9,Sand,2.22,57.52,1
1370.4,906,3.295,2.17,126.0,Sand,2.38,55.95,1
1407.4,1597,3.014,2.252,71.7,Permanent,1.54,69.21,0
1510.3,1577,3.738,1.87,76.4,Permanent,1.2,47.41,1
1404.9,1285,3.834,2.206,61.9,Permanent,0.97,78.54,0
1438.2,880,3.74,2.493,120.5,Permanent,0.6,74.25,0
1469.5,1312,3.143,2.627,84.7,Die,1.04,64.57,1
1411.8,765,3.753,2.631,105.0,Sand,1.81,65.1,0
1515.2,728,3.769,2.367,110.2,Die,1.57,50.72,1
1513.6,932,3.659,2.857,60.9,Permanent,2.39,49.73,1
1392.8,1116,3.766,2.726,70.5,Permanent,1.29,74.8,0
1434.5,1481,3.846,2.636,114.1,Permanent,1.89,65.95,0
1401.1,1354,3.614,1.583,63.1,Die,1.48,74.51,0
1398.4,1368,3.089,1.51,108.4,Sand,1.53,69.73,0
1356.3,1083,3.488,1.819,123.8,Permanent,1.04,70.03,0
1453.6,1011,3.078,2.495,90.4,Sand,1.41,80.94,0
1435.5,1034,3.408,2.117,102.9,Permanent,1.44,88.55,0
1358.8,1589,3.407,2.104,109.5,Sand,1.91,49.32,1
1397.4,736,3.066,2.827,113.7,Die,2.38,60.71,1
1504.4,1480,3.349,2.843,66.5,Sand,1.16,41.65,1
1390.7,1221,3.111,2.864,30.4,Sand,0.58,63.63,1
1374.6,1095,3.808,1.971,67.2,Permanent,1.49,90.76,0
1433.2,1353,3.948,2.537,95.7,Permanent,1.59,77.02,0
1517.6,1138,3.072,1.907,72.3,Permanent,0.84,72.2,0
1391.1,1486,3.955,1.786,103.6,Permanent,2.02,54.85,1
1464.3,1511,3.523,1.777,62.5,Sand,2.47,57.42,1
1479.5,1080,3.3,2.013,91.6,Sand,2.39,73.26,0
1390.4,949,3.077,2.145,44.6,Permanent,0.89,63.3,1
1473.8,1233,3.501,2.746,103.7,Die,2.25,64.08,1
1412.5,1521,3.795,1.68,82.3,Permanent,1.91,61.84,1
1457.5,890,3.707,2.602,46.4,Permanent,1.41,76.03,0
1457.7,1261,3.05,2.297,55.7,Permanent,1.58,80.52,0
1441.1,1268,3.073,1.932,103.6,Permanent,2.2,74.9,0
1365.3,1360,3.403,2.239,75.7,Permanent,1.46,76.8,0
1492.0,818,3.295,1.95,47.7,Permanent,1.25,59.87,1
1404.5,1344,3.232,2.394,126.6,Permanent,1.49,76.48,0
1381.7,1518,3.281,2.151,100.1,Die,1.66,60.88,1
1356.9,862,3.803,1.747,125.5,Permanent,0.88,53.43,1
1450.5,914,3.929,1.675,69.8,Permanent,2.3,70.43,0
1465.2,1574,3.405,2.32,74.9,Permanent,1.85,68.38,0
1352.8,863,3.906,2.854,119.3,Sand,1.77,48.2,1
1437.1,1469,3.321,2.016,80.1,Permanent,0.7,76.03,0
1388.5,1143,3.476,2.6,99.3,Die,1.71,76.51,0
1459.7,923,3.226,2.488,51.5,Sand,0.74,64.37,1
1379.6,1484,3.64,2.897,71.9,Sand,0.66,59.3,1
1467.5,1101,3.979,2.731,38.0,Sand,1.55,71.49,0
1415.7,1163,3.603,2.35,46.6,Permanent,1.31,87.38,0
1509.2,1023,3.358,2.486,25.1,Permanent,1.68,67.73,0
1373.4,1234,3.648,2.848,29.1,Permanent,0.68,60.87,1
1408.0,847,3.123,2.099,127.6,Sand,1.36,66.11,0
1369.3,1052,3.889,1.99,50.4,Permanent,0.85,77.33,0
1507.2,1572,3.503,1.516,94.6,Permanent,2.47,49.2,1
1499.1,932,3.449,2.74,113.1,Die,1.62,67.89,0
1393.9,1291,3.586,2.701,82.8,Permanent,1.87,75.7,0
1462.2,993,3.625,1.657,41.1,Die,1.15,76.48,0
1488.9,1396,3.072,2.365,101.5,Sand,0.69,50.31,1
1444.4,818,3.683,2.196,88.0,Permanent,2.45,70.58,0
1440.0,1573,3.242,1.678,101.8,Permanent,1.07,50.42,1
1391.1,1108,3.714,2.971,105.8,Permanent,1.35,84.71,0
1365.8,912,3.823,1.822,127.4,Sand,1.8,53.29,1
1502.5,766,3.804,1.601,85.2,Sand,0.55,46.69,1
1503.1,853,3.553,2.392,60.9,Sand,2.12,56.78,1
1457.6,1168,3.52,2.608,93.1,Die,1.57,85.29,0
1407.6,1003,3.143,1.549,32.2,Sand,1.06,68.1,0
1409.4,1446,3.775,2.488,119.2,Permanent,0.62,58.54,1
1473.4,1088,3.271,2.298,37.5,Permanent,0.82,78.71,0
1502.5,924,3.497,1.655,59.4,Die,2.29,54.84,1
1500.8,1255,3.284,1.759,110.7,Permanent,1.87,57.15,1
1482.6,1336,3.134,2.352,87.7,Permanent,1.0,58.17,1
1459.1,850,3.63,1.945,66.3,Sand,0.63,62.77,1
1364.3,851,3.054,2.907,74.7,Permanent,1.88,62.2,1
1377.5,733,3.749,2.728,114.7,Die,1.64,47.77,1
1502.8,1363,3.318,2.975,60.7,Sand,1.31,48.53,1
1453.1,1297,3.0,1.89,116.3,Permanent,1.23,67.69,0
1351.6,1127,3.511,2.955,34.3,Die,0.93,62.26,1
1367.3,1460,3.047,2.147,106.6,Permanent,1.84,64.7,1
1462.8,1425,3.276,2.021,114.0,Permanent,2.44,67.93,0
1350.9,1227,3.707,1.576,44.1,Permanent,0.85,56.62,1
1377.3,1481,3.063,1.579,70.2,Permanent,1.69,60.45,1
1443.3,885,3.839,2.538,42.4,Permanent,1.35,77.11,0
1467.6,801,3.004,2.187,99.2,Permanent,1.39,63.52,1
1460.8,943,3.247,1.84,81.2,Permanent,1.01,69.48,0
1388.1,751,3.741,2.421,91.7,Permanent,2.15,65.44,0
1471.1,1178,3.316,1.879,45.6,Sand,1.47,72.54,0
1390.3,1543,3.102,2.366,47.2,Die,1.59,57.57,1
1405.3,735,3.36,2.039,29.4,Permanent,1.11,67.66,0
1476.9,810,3.27,2.735,58.8,Permanent,0.86,58.81,1
1460.4,1107,3.843,2.731,83.8,Permanent,0.67,74.54,0
1494.4,1540,3.313,2.216,115.1,Permanent,1.93,52.13,1
1461.8,985,3.789,2.026,95.0,Sand,0.89,74.22,0
1446.6,1157,3.892,2.044,70.7,Sand,1.88,77.63,0
1365.9,737,3.434,2.709,125.1,Permanent,1.28,58.32,1
1412.5,834,3.91,1.992,100.5,Permanent,1.33,66.54,0
1395.1,1588,3.377,1.814,122.7,Permanent,1.44,54.09,1
1391.5,1569,3.964,1.627,80.4,Sand,1.24,53.06,1
1515.4,704,3.089,2.2,52.2,Permanent,0.7,44.55,1
1416.8,1557,3.687,2.223,30.5,Die,1.12,61.95,1
1501.6,1275,3.494,2.761,101.2,Sand,1.83,68.01,0
1457.3,1481,3.388,1.832,37.7,Permanent,1.83,58.57,1
1485.1,1109,3.633,2.071,56.8,Sand,1.07,85.48,0
1435.4,1164,3.704,2.713,80.9,Die,1.42,88.9,0
1448.1,1140,3.004,2.735,84.3,Sand,0.89,77.07,0
1433.7,1300,3.167,2.077,88.1,Permanent,0.92,81.74,0
1383.2,826,3.713,2.189,42.5,Permanent,0.55,75.15,0
1472.8,727,3.666,1.955,64.9,Die,2.29,56.18,1
1397.7,977,3.966,2.899,89.8,Sand,0.92,64.92,1
1354.1,1334,3.761,1.678,126.8,Sand,0.96,46.65,1
1459.7,882,3.951,2.901,101.4,Die,1.06,63.16,1
1380.1,1306,3.703,2.526,121.9,Die,0.75,55.72,1
1509.9,1573,3.298,2.297,105.0,Die,1.78,47.03,1
1512.2,785,3.105,1.549,87.1,Permanent,0.65,54.03,1
1505.5,1305,3.782,2.213,45.2,Sand,0.77,57.43,1
1412.9,1099,3.644,2.112,95.0,Sand,1.79,87.62,0
1352.6,1481,3.048,1.742,90.5,Sand,1.18,45.48,1
1507.8,859,3.36,2.485,88.3,Sand,1.92,62.37,1
1422.8,1323,3.957,2.957,76.4,Permanent,1.61,74.6,0
1514.3,1454,3.5,2.343,80.5,Sand,1.01,62.97,1
1513.8,1550,3.433,2.572,60.1,Sand,1.8,54.81,1
1495.0,1315,3.458,1.603,79.5,Permanent,0.73,64.14,1
1400.1,1147,3.209,2.127,45.7,Permanent,1.57,83.99,0
1415.5,1256,3.369,1.675,109.5,Permanent,1.37,82.76,0
1494.7,1482,3.37,2.419,44.5,Permanent,1.04,59.79,1
1403.9,1214,3.052,2.908,33.9,Permanent,1.71,68.43,0
1378.8,727,3.768,2.493,70.8,Permanent,2.24,60.61,1
1444.7,1538,3.417,1.615,94.1,Sand,2.5,52.12,1
1509.1,1321,3.822,2.032,71.0,Sand,1.72,61.72,1
1468.3,1309,3.85,2.326,54.1,Sand,1.31,71.71,0
1446.9,894,3.212,2.105,83.6,Die,0.95,71.12,0
1366.5,1293,3.657,2.75,61.4,Permanent,1.01,65.15,0
1454.6,1054,3.472,2.722,123.0,Permanent,1.46,74.06,0
1518.3,1286,3.88,2.418,121.9,Die,1.23,49.27,1
1373.8,796,3.216,2.06,77.7,Permanent,2.33,67.26,0
1438.1,1292,3.678,1.883,59.4,Die,1.24,75.76,0
1499.2,1599,3.608,1.659,102.4,Die,1.25,43.38,1
1475.9,743,3.295,2.032,28.9,Sand,1.27,48.82,1
1468.5,1579,3.137,2.12,74.9,Die,2.17,58.35,1
1469.4,1066,3.652,2.514,60.3,Permanent,1.8,81.42,0
1411.1,1484,3.739,2.487,121.7,Permanent,1.73,62.65,1
1399.9,1404,3.316,1.605,26.3,Sand,1.17,58.67,1
1487.6,1210,3.645,2.093,83.0,Permanent,2.14,74.62,0
1487.7,1365,3.395,1.773,102.8,Die,0.58,53.68,1
1497.4,1491,3.713,1.735,75.9,Permanent,2.24,47.88,1
1505.3,1064,3.199,2.741,34.0,Sand,1.53,69.31,0
1436.9,994,3.89,1.563,127.1,Sand,1.3,67.25,0
1435.3,1301,3.287,2.129,79.4,Sand,1.49,82.42,0
1485.7,1427,3.368,1.752,89.5,Permanent,1.83,64.67,1
1460.5,1386,3.058,2.819,49.8,Permanent,0.53,73.55,0
1469.3,1418,3.112,2.336,75.8,Die,2.24,60.17,1
1485.3,1092,3.516,1.847,70.1,Permanent,1.39,83.69,0
1501.3,1436,3.268,2.254,32.9,Die,1.19,50.81,1
1407.5,808,3.835,2.597,36.1,Sand,0.78,60.76,1
1413.8,1190,3.015,2.937,112.9,Sand,1.38,69.7,0
1366.0,705,3.379,1.831,50.2,Sand,1.49,50.85,1
1448.3,992,3.337,2.829,45.5,Permanent,1.31,77.59,0
1356.1,1030,3.019,2.901,78.0,Sand,1.86,58.76,1
1429.2,1057,3.124,2.875,105.7,Die,1.34,85.0,0
1442.2,1326,3.414,2.453,31.5,Permanent,2.42,72.1,0
1398.7,1050,3.493,2.445,85.6,Die,1.7,89.18,0
1450.4,1104,3.404,2.105,37.5,Permanent,2.11,82.16,0
1355.2,914,3.531,2.629,28.8,Permanent,0.72,58.39,1
1356.3,1036,3.595,2.297,30.5,Permanent,1.29,73.14,0
1489.8,905,3.01,2.516,112.6,Die,1.17,53.92,1
1411.2,766,3.464,2.143,37.4,Permanent,1.64,72.45,0
1371.6,1243,3.963,2.597,29.7,Die,2.22,56.76,1
1438.8,1301,3.519,2.737,71.0,Die,0.66,74.39,0
1480.9,1258,3.678,1.72,113.6,Permanent,0.65,54.05,1
1386.7,1117,3.312,2.749,52.6,Permanent,2.2,83.13,0
1455.9,1042,3.774,2.31,69.3,Sand,0.93,78.83,0
1364.5,1477,3.773,2.767,29.2,Permanent,1.84,55.3,1
1358.8,1167,3.521,2.147,72.2,Sand,1.59,82.14,0
1440.3,1131,3.976,2.069,85.6,Permanent,2.17,79.69,0
1441.9,723,3.126,2.873,84.9,Permanent,0.75,59.31,1
1458.4,1007,3.017,1.877,59.9,Sand,0.76,81.31,0
1473.4,1042,3.77,2.766,58.1,Permanent,1.61,82.99,0
1515.9,1059,3.807,2.226,36.2,Permanent,2.39,62.72,1
1437.8,1222,3.12,2.271,63.5,Permanent,1.33,87.04,0
1404.9,1180,3.266,1.963,35.4,Permanent,1.15,76.9,0
1485.2,1247,3.018,2.36,105.5,Sand,1.71,65.89,0
1396.0,1388,3.293,1.988,126.5,Die,2.36,58.3,1
1424.6,1432,3.773,1.559,126.9,Permanent,2.17,55.3,1
1363.3,1346,3.518,1.908,115.8,Sand,2.49,51.04,1
1354.3,1560,3.348,1.51,88.1,Sand,0.55,43.06,1
1513.7,716,3.372,2.968,98.6,Permanent,0.73,40.3,1
1492.1,876,3.001,2.949,54.9,Permanent,1.72,57.09,1
1468.3,707,3.3,2.093,91.2,Die,2.14,56.61,1
1419.5,1283,3.646,2.593,72.8,Sand,1.07,78.65,0
1379.5,1508,3.974,2.019,75.6,Sand,0.98,60.9,1
1376.6,919,3.847,2.507,104.6,Sand,2.07,64.92,1
1392.5,1534,3.024,2.708,54.6,Permanent,0.61,54.72,1
1443.4,754,3.899,2.92,58.4,Sand,1.24,65.86,0
1471.5,1541,3.783,2.1,122.1,Sand,1.51,54.82,1
1462.2,1016,3.78,2.675,30.9,Sand,1.62,76.15,0
1397.6,791,3.458,1.899,76.0,Permanent,1.96,72.39,0
1512.3,1137,3.398,2.985,120.8,Permanent,1.21,59.3,1
1475.4,931,3.303,1.539,89.1,Permanent,1.73,63.6,1
1444.2,956,3.066,2.405,82.4,Die,1.67,78.85,0
1454.0,977,3.228,2.489,51.2,Permanent,1.6,83.03,0
1421.3,1423,3.247,2.532,61.0,Permanent,1.78,81.37,0
1392.1,1185,3.484,1.681,114.5,Permanent,1.02,78.96,0
1410.5,980,3.747,2.908,83.7,Permanent,0.67,70.94,0
1478.8,1249,3.474,1.772,79.0,Sand,0.74,73.78,0
1352.4,1345,3.058,2.434,35.5,Sand,0.95,45.26,1
1369.7,945,3.958,1.834,26.7,Sand,1.5,63.69,1
1357.8,1072,3.943,1.961,126.2,Permanent,2.18,62.52,1
1356.9,810,3.785,2.32,64.6,Sand,1.9,63.27,1
1495.4,863,3.991,2.126,88.3,Permanent,2.08,55.79,1
1469.6,1313,3.544,1.74,33.4,Permanent,1.2,71.26,0
1430.6,863,3.963,1.756,96.7,Permanent,1.31,68.55,0
1366.6,1173,3.076,2.127,122.9,Permanent,1.29,66.09,0
1433.6,1338,3.366,2.636,85.4,Permanent,0.88,74.52,0
1430.5,796,3.225,2.847,38.2,Sand,0.62,56.15,1
1379.4,1211,3.196,1.626,86.1,Sand,1.68,70.67,0
1423.8,931,3.141,2.09,105.5,Die,2.48,83.67,0
1417.7,1567,3.622,1.65,67.7,Permanent,0.83,76.41,0
1454.7,1135,3.781,1.525,117.4,Permanent,0.59,71.42,0
1458.0,1425,3.578,2.493,93.1,Permanent,2.06,73.53,0
1357.7,1195,3.147,2.404,119.4,Die,1.01,64.6,1
1413.7,739,3.811,1.745,90.5,Sand,2.16,66.25,0
1456.4,1270,3.636,1.851,38.8,Sand,1.91,68.11,0
1435.5,1556,3.388,1.536,57.5,Permanent,2.39,62.24,1
1495.6,1241,3.674,2.752,46.2,Sand,1.32,64.22,1
1462.0,1437,3.26,2.962,120.4,Permanent,1.82,54.78,1
1377.7,1496,3.345,1.703,104.8,Sand,1.43,55.03,1
1362.0,905,3.917,1.847,96.0,Die,1.76,61.65,1
1459.2,891,3.291,2.803,56.6,Die,1.4,73.94,0
1354.5,1250,3.47,2.89,44.3,Sand,0.88,55.23,1
1449.6,1070,3.89,2.129,104.4,Permanent,1.52,83.88,0
1509.8,1456,3.708,1.576,74.8,Die,1.56,60.59,1
1447.8,1510,3.062,1.559,48.7,Sand,2.12,58.45,1
1416.0,1018,3.147,2.361,89.7,Permanent,1.97,91.7,0
1459.4,913,3.008,2.089,29.2,Permanent,1.83,67.78,0
1427.9,1402,3.631,1.543,59.2,Permanent,0.73,73.09,0
1442.8,947,3.448,2.375,74.2,Permanent,1.94,90.71,0
1510.0,1440,3.134,1.517,40.5,Permanent,1.5,53.04,1
1415.6,1081,3.958,2.681,128.4,Sand,2.29,65.56,0
1513.4,1301,3.53,1.96,47.0,Permanent,2.34,53.09,1
1503.9,786,3.242,1.56,38.7,Permanent,0.61,51.83,1
1383.3,1261,3.501,2.383,46.4,Sand,2.14,70.7,0
1361.8,1107,3.68,2.097,105.8,Die,0.58,68.83,0
1367.1,1228,3.076,2.961,69.7,Sand,1.23,59.64,1
1353.1,851,3.275,2.316,84.4,Permanent,1.58,64.89,1
1366.1,1363,3.807,1.913,27.2,Die,0.8,48.82,1
1466.1,1477,3.46,2.564,28.6,Die,1.99,66.32,0
1362.1,895,3.547,1.907,71.8,Permanent,0.52,67.46,0
1404.2,786,3.433,2.856,110.7,Permanent,0.84,65.26,0
1493.6,721,3.044,2.062,118.0,Sand,1.66,50.37,1
1354.0,1278,3.166,2.325,34.1,Die,1.93,64.44,1
1488.5,1246,3.446,1.576,81.5,Die,2.33,69.36,0
1397.9,1192,3.209,2.139,120.9,Die,1.91,79.51,0
1370.1,909,3.05,2.749,65.7,Sand,1.84,60.42,1
1468.4,1052,3.844,2.708,112.1,Sand,1.29,69.09,0
1456.9,1235,3.981,1.836,39.0,Permanent,0.5,69.97,0
1499.2,1147,3.793,1.839,123.2,Permanent,0.74,59.89,1
1475.0,1589,3.854,2.726,103.9,Permanent,1.57,51.49,1
1486.6,823,3.242,2.896,123.8,Sand,1.85,52.24,1
1397.9,1326,3.961,1.643,96.0,Sand,1.33,68.89,0
1380.2,1064,3.197,2.175,63.2,Sand,1.96,71.05,0
1477.6,1085,3.951,2.006,123.5,Permanent,1.54,75.17,0
1487.2,1346,3.995,2.806,53.9,Sand,0.65,51.68,1
1518.4,1323,3.712,1.625,59.9,Permanent,0.88,56.73,1
1420.1,1592,3.981,1.817,98.6,Permanent,2.18,62.54,1
1413.2,816,3.57,2.629,105.4,Sand,1.95,76.94,0
1482.0,794,3.26,1.577,122.6,Sand,2.29,53.72,1
1407.9,1352,3.437,2.239,46.5,Die,0.74,80.2,0
1508.2,1221,3.594,2.163,108.8,Permanent,2.48,68.96,0
1495.9,947,3.073,2.002,102.5,Permanent,0.92,63.3,1
1422.9,771,3.622,2.092,31.7,Permanent,0.52,70.46,0
1477.6,777,3.981,2.295,65.7,Permanent,2.49,64.3,1
1478.3,1505,3.19,1.742,54.7,Die,1.06,56.23,1
1367.5,873,3.793,2.358,57.0,Sand,1.84,63.51,1
1503.4,991,3.908,2.708,128.2,Die,0.85,55.78,1
1435.9,904,3.944,2.64,92.5,Permanent,1.66,77.16,0
1490.5,1019,3.96,1.731,100.4,Die,2.31,58.37,1
1404.4,762,3.521,1.724,127.5,Permanent,1.14,69.36,0
1502.2,1167,3.977,1.902,64.6,Die,1.84,66.27,0
1416.2,761,3.757,2.042,109.2,Permanent,0.88,77.58,0
1351.8,1420,3.162,2.113,70.6,Permanent,1.75,54.72,1
1503.9,910,3.477,2.52,116.3,Sand,1.17,56.52,1
